service_id,date,exception_type
N1512-VATCo-Weekday-00,20151225,2
N1512-VATCo-Weekday-00-0100000,20151225,2
N1512-VATCo-Weekday-00-1000000,20151225,2
N1512-VATCo-Weekday-00-1110100,20151225,2
N1512-VATCo-Weekday-00-0001000,20151225,2
N1512-VATCo-Weekday-00-0101100,20151225,2
N1512-VATCo-Weekday-00-0000100,20151225,2
N1512-VATCo-Weekday-00-0001100,20151225,2
N1512-VATCo-Weekday-00-0010000,20151225,2
N1512-VATCo-Weekday-00-1100000,20151225,2
N1512-VATCo-Weekday-00-0111100,20151225,2
N1512-VATCo-Weekday-00-0011100,20151225,2
N1512-VATCo-Weekday-00,20160101,2
N1512-VATCo-Weekday-00-0100000,20160101,2
N1512-VATCo-Weekday-00-1000000,20160101,2
N1512-VATCo-Weekday-00-1110100,20160101,2
N1512-VATCo-Weekday-00-0001000,20160101,2
N1512-VATCo-Weekday-00-0101100,20160101,2
N1512-VATCo-Weekday-00-0000100,20160101,2
N1512-VATCo-Weekday-00-0001100,20160101,2
N1512-VATCo-Weekday-00-0010000,20160101,2
N1512-VATCo-Weekday-00-1100000,20160101,2
N1512-VATCo-Weekday-00-0111100,20160101,2
N1512-VATCo-Weekday-00-0011100,20160101,2
